Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.345662757,0.186915616,0.079291214,0.034177362,5674,1976194036,763,414,1177,13979028,NvProp Muy Alto
0.349165559,0.183824393,0.077650984,0.033190515,5539,1977327825,725,406,1131,13506194,NvProp Muy Alto
0.345474779,0.189152741,0.08028577,0.032014072,5765,1987557951,687,405,1092,12880123,NvProp Muy Alto
0.346643402,0.182749835,0.077770729,0.032576647,5639,1980234041,745,393,1138,13534679,NvProp Muy Alto
0.34339294,0.185833837,0.080596849,0.030943548,5785,1986763877,677,399,1076,13112181,NvProp Muy Alto
0.348909824,0.189039981,0.079957312,0.033385635,5769,1980906737,737,412,1149,13768951,NvProp Muy Alto
0.347934949,0.189591837,0.080685689,0.031253644,5780,1985508966,723,349,1072,13102954,NvProp Muy Alto
0.346574041,0.187373782,0.079812141,0.032224076,5676,1981418761,726,375,1101,13269700,NvProp Muy Alto
0.343765015,0.193042052,0.082913409,0.032183437,5907,1987795871,685,414,1099,13330121,NvProp Muy Alto
0.346555334,0.191259371,0.081174487,0.03402685,5825,1981500081,757,414,1171,14006220,NvProp Muy Alto
0.348048009,0.188480917,0.079837243,0.033908612,5749,1979919585,760,411,1171,13959304,NvProp Muy Alto
0.34834748,0.186988342,0.078983223,0.032225404,5739,1981704421,725,389,1114,13565077,NvProp Muy Alto
0.347466611,0.18649686,0.078562914,0.032333101,5668,1981420221,746,366,1112,13499827,NvProp Muy Alto
0.347701262,0.187532862,0.079754256,0.033592335,5673,1979384010,747,403,1150,13696860,NvProp Muy Alto
0.347887072,0.187261293,0.080183529,0.033081584,5802,1986326979,719,433,1152,13725590,NvProp Muy Alto
0.347396685,0.190054318,0.081058426,0.033694484,5802,1984687764,741,419,1160,13825785,NvProp Muy Alto
0.345243481,0.188097922,0.080522216,0.032313073,5810,1984478215,698,420,1118,13508420,NvProp Muy Alto
0.345229414,0.188031923,0.079803466,0.032658951,5701,1984914094,684,425,1109,13151575,NvProp Muy Alto
0.345580305,0.186976717,0.079223838,0.033075944,5618,1982416717,702,416,1118,13296434,NvProp Muy Alto
0.34878855,0.183035192,0.077445843,0.031801707,5527,1981577950,735,353,1088,13012050,NvProp Muy Alto
0.347869486,0.188015746,0.079766131,0.032366234,5730,1986302476,718,392,1110,13238160,NvProp Muy Alto
0.346627318,0.186574101,0.079796881,0.031662116,5720,1985124126,703,387,1090,13029584,NvProp Muy Alto
0.345383017,0.188624827,0.080362471,0.03377365,5791,1981482187,749,422,1171,13848945,NvProp Muy Alto
0.347768926,0.191537458,0.082431168,0.032980727,5901,1984293373,708,430,1138,14033992,NvProp Muy Alto
0.347048518,0.187332198,0.079821441,0.032824273,5722,1982718947,767,370,1137,13691824,NvProp Muy Alto
0.345043181,0.186575147,0.078788909,0.032715279,5561,1983450099,718,383,1101,12949580,NvProp Muy Alto
0.345661072,0.187898275,0.078763209,0.033674364,5650,1979236866,778,374,1152,13900722,NvProp Muy Alto
0.348544825,0.186640242,0.077907074,0.03357426,5597,1980030811,807,345,1152,13922510,NvProp Muy Alto
0.347672916,0.186232115,0.078799928,0.032765476,5668,1981929229,749,380,1129,13681987,NvProp Muy Alto
0.348462758,0.189034771,0.080554009,0.032982254,5787,1983187491,764,379,1143,13598433,NvProp Muy Alto
0.348740989,0.187771169,0.080106587,0.033675258,5772,1981029375,763,409,1172,14151993,NvProp Muy Alto
0.350263387,0.185464528,0.078591946,0.032596446,5691,1982358553,727,401,1128,13323668,NvProp Muy Alto
0.345662577,0.186949108,0.079876983,0.033060717,5714,1980313290,755,389,1144,13976245,NvProp Muy Alto
0.349089143,0.189732917,0.080859959,0.031766678,5841,1986670519,723,376,1099,13172154,NvProp Muy Alto
0.345026989,0.187860766,0.080823399,0.03154335,5756,1986941123,688,394,1082,13054726,NvProp Muy Alto
0.349863508,0.186352314,0.07866663,0.033684759,5678,1979585031,756,407,1163,14062912,NvProp Muy Alto
0.346632882,0.189748645,0.080948122,0.033890934,5792,1977722285,753,416,1169,14224375,NvProp Muy Alto
